Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,87,8,Some Random Commen with Id 0
1,0,1,1,7,Some Random Commen with Id 1
2,0,1,73,7,Some Random Commen with Id 2
3,0,1,121,0,Some Random Commen with Id 3
4,0,1,118,1,Some Random Commen with Id 4
5,0,1,199,9,Some Random Commen with Id 5
6,1,9,185,5,Some Random Commen with Id 6
7,1,9,152,4,Some Random Commen with Id 7
8,4,2,97,5,Some Random Commen with Id 8
9,5,8,28,0,Some Random Commen with Id 9
10,7,4,123,8,Some Random Commen with Id 10
11,7,4,61,7,Some Random Commen with Id 11
12,7,4,39,9,Some Random Commen with Id 12
13,7,4,103,3,Some Random Commen with Id 13
14,8,8,147,5,Some Random Commen with Id 14
15,8,8,141,6,Some Random Commen with Id 15
16,8,8,195,1,Some Random Commen with Id 16
17,9,1,145,8,Some Random Commen with Id 17
18,9,1,52,2,Some Random Commen with Id 18
19,9,1,14,8,Some Random Commen with Id 19
20,9,1,50,9,Some Random Commen with Id 20
21,10,9,141,0,Some Random Commen with Id 21
22,10,9,157,1,Some Random Commen with Id 22
23,10,9,165,2,Some Random Commen with Id 23
24,10,9,140,3,Some Random Commen with Id 24
25,10,9,85,9,Some Random Commen with Id 25
26,10,9,95,7,Some Random Commen with Id 26
27,10,9,177,0,Some Random Commen with Id 27
28,10,9,151,4,Some Random Commen with Id 28
29,10,9,43,8,Some Random Commen with Id 29
30,11,8,8,8,Some Random Commen with Id 30
31,13,7,12,6,Some Random Commen with Id 31
32,13,7,106,4,Some Random Commen with Id 32
33,13,7,166,5,Some Random Commen with Id 33
34,14,5,166,1,Some Random Commen with Id 34
35,14,5,83,2,Some Random Commen with Id 35
36,14,5,34,6,Some Random Commen with Id 36
37,14,5,47,0,Some Random Commen with Id 37
38,14,5,124,1,Some Random Commen with Id 38
39,15,2,124,8,Some Random Commen with Id 39
40,15,2,62,7,Some Random Commen with Id 40
41,15,2,62,3,Some Random Commen with Id 41
42,16,2,182,0,Some Random Commen with Id 42
43,17,6,56,4,Some Random Commen with Id 43
44,17,6,1,4,Some Random Commen with Id 44
45,17,6,68,8,Some Random Commen with Id 45
46,17,6,172,3,Some Random Commen with Id 46
47,17,6,46,1,Some Random Commen with Id 47
